Wavelength	Reference_BlackABS00000.asd
350	 21.6309280010783 
351	 22.3245657845802 
352	 22.7378351315637 
353	 24.9618484117801 
354	 25.7995056542652 
355	 26.5884300971764 
356	 28.3873019016998 
357	 29.1085446819081 
358	 29.7278328134542 
359	 30.6425236508095 
360	 31.7900028339768 
361	 33.1562405757198 
362	 34.2624120059656 
363	 34.8670073520622 
364	 36.2253431497444 
365	 37.0508816319419 
366	 37.2795023056539 
367	 38.5029304323428 
368	 38.6829255506353 
369	 38.7058910041716 
370	 40.1533334895839 
371	 42.3839768021639 
372	 44.1366537592087 
373	 44.8362605563702 
374	 45.1609678113567 
375	 45.5288655652186 
376	 46.1849291956203 
377	 47.3068493642511 
378	 49.8389241580598 
379	 52.368223865519 
380	 53.9856034196041 
381	 56.5195755745035 
382	 57.261449759267 
383	 57.2105698164246 
384	 60.5398702841922 
385	 64.3159074932205 
386	 67.596318397888 
387	 70.268110706182 
388	 73.8910820737052 
389	 77.2224720345336 
390	 80.2740962272924 
391	 85.2447803264933 
392	 89.8285126356363 
393	 95.0851415342479 
394	 102.881451274183 
395	 109.205328647602 
396	 114.584717217164 
397	 120.416773530113 
398	 128.877949220184 
399	 137.363555465784 
400	 146.573654198444 
401	 159.605439480183 
402	 172.173362305497 
403	 183.775768636505 
404	 195.580202441162 
405	 211.54101387361 
406	 229.777858661412 
407	 248.678750230871 
408	 267.208985893136 
409	 287.372269858838 
410	 309.281303152502 
411	 332.238886350215 
412	 355.752352982903 
413	 381.835197136261 
414	 410.896063198333 
415	 438.077781088952 
416	 465.514210797266 
417	 493.654136197663 
418	 521.575708158351 
419	 549.423669438518 
420	 578.295885616871 
421	 608.708980801054 
422	 636.520192901599 
423	 663.768524545734 
424	 691.401518029843 
425	 717.569610078224 
426	 742.961943970153 
427	 767.549638068264 
428	 791.107336995766 
429	 815.301908499936 
430	 839.48279915301 
431	 862.50913524719 
432	 882.980041692756 
433	 903.921477839142 
434	 925.563180559689 
435	 944.548873416211 
436	 960.590140229502 
437	 976.378089052257 
438	 995.260367104095 
439	 1013.39130461821 
440	 1029.14359234374 
441	 1042.89098182207 
442	 1059.63349474537 
443	 1075.51644450301 
444	 1090.16457196797 
445	 1106.22920798846 
446	 1121.22404743327 
447	 1135.64277027711 
448	 1150.60620850875 
449	 1165.71362424356 
450	 1179.11319430216 
451	 1190.86472790881 
452	 1205.46342971826 
453	 1219.65762777961 
454	 1233.18990193224 
455	 1247.61341558409 
456	 1261.82672756179 
457	 1275.73914643089 
458	 1289.94266298734 
459	 1307.33736905869 
460	 1324.28969888312 
461	 1339.6527769572 
462	 1357.0837980902 
463	 1376.2636572338 
464	 1395.27526359731 
465	 1411.42828349896 
466	 1430.88990275839 
467	 1452.1952888602 
468	 1473.22561022539 
469	 1496.04063068272 
470	 1519.13583559177 
471	 1542.27628051304 
472	 1567.3811320645 
473	 1592.47002150567 
474	 1618.39281795217 
475	 1647.10866050324 
476	 1676.54102252189 
477	 1706.37181094915 
478	 1736.96056124096 
479	 1770.12634426331 
480	 1803.38530772814 
481	 1836.1481498678 
482	 1870.37619552612 
483	 1906.292244213 
484	 1943.89184590463 
485	 1982.80823884475 
486	 2021.11698092726 
487	 2061.12993207436 
488	 2104.30438380804 
489	 2146.80420185401 
490	 2190.51557144664 
491	 2236.68006316596 
492	 2285.9549048358 
493	 2335.05843572207 
494	 2383.73123346478 
495	 2433.23207574396 
496	 2485.89798554533 
497	 2539.84255397901 
498	 2593.55712974175 
499	 2649.01590508332 
500	 2706.68485268891 
501	 2765.86885414438 
502	 2824.37240325417 
503	 2882.17493268412 
504	 2940.92895604257 
505	 3002.78064557788 
506	 3064.46123669456 
507	 3127.13026178761 
508	 3191.75246655803 
509	 3256.19702015488 
510	 3321.64510411417 
511	 3388.60667177622 
512	 3456.63236669292 
513	 3527.00731877072 
514	 3599.293943913 
515	 3672.40621799986 
516	 3748.32255849462 
517	 3823.12901179218 
518	 3894.85191637956 
519	 3971.94407175336 
520	 4048.9888915734 
521	 4124.69175603954 
522	 4203.95549254927 
523	 4284.11907349467 
524	 4364.14761796954 
525	 4443.65420566525 
526	 4523.84647006864 
527	 4605.23697135853 
528	 4687.3127842669 
529	 4765.75559879226 
530	 4846.34427185317 
531	 4930.11219741096 
532	 5010.15909670624 
533	 5089.22981156361 
534	 5168.43254027831 
535	 5248.34688272889 
536	 5327.80341916178 
537	 5406.07932810353 
538	 5482.51154394686 
539	 5555.75629849329 
540	 5629.7407265542 
541	 5705.52966370504 
