Wavelength	4mm_whiteABS00000.asd
350	-1.94541299064317 
351	-0.789270817083704 
352	-0.267576344200312 
353	-0.484729397476132 
354	-0.538160098508744 
355	-0.677767103078094 
356	-0.977049502631215 
357	-0.279037613254751 
358	 0.313068336306025 
359	 0.190670253673272 
360	-0.82867094491429 
361	-2.19174403407376 
362	-2.3721087546264 
363	-0.613474789740749 
364	 4.30722889303131E-02 
365	-0.304755385470004 
366	-0.873687094162284 
367	-7.37224699624638E-02 
368	-0.427485254819511 
369	-1.10644406942848 
370	-0.453744492245131 
371	 0.778916956487657 
372	 1.4444912606706 
373	 0.918270400515278 
374	-0.652143815547952 
375	-1.58261401621751 
376	-1.61840302507211 
377	-1.35476419366244 
378	-1.80625321809444 
379	-2.03497764094939 
380	-1.44892564733139 
381	-1.36819457826988 
382	-1.39005628970936 
383	-1.49565770144237 
384	-1.96645607500092 
385	-2.30055154571741 
386	-2.09050267553976 
387	-1.23151766743584 
388	-0.769709963803323 
389	-0.535408162296793 
390	-0.373228260355184 
391	-0.22600588717319 
392	-0.402550212469806 
393	-0.373189839638117 
394	 0.418324108211709 
395	-0.885073875222421 
396	-1.82478607006747 
397	-0.720803175487741 
398	 0.697685050407398 
399	 1.03551925903509 
400	 0.650778596594811 
401	 1.31345824197688 
402	 2.18200344651319 
403	 2.46882458573477 
404	 1.73026551674253 
405	 0.74174880173084 
406	 2.01274113100138 
407	 4.90179244397881 
408	 3.67803606094507 
409	 3.54164367327153 
410	 4.77531491148189 
411	 5.70121742313364 
412	 5.75479259242878 
413	 6.47786915893538 
414	 8.51804195258425 
415	 9.2162267142196 
416	 9.8718435278004 
417	 10.8664705959725 
418	 11.8385299509786 
419	 13.3774524292083 
420	 15.047581249398 
421	 16.2682656339386 
422	 17.4401694246868 
423	 18.1114997527036 
424	 18.5931290479882 
425	 21.0424149981267 
426	 22.0667411225415 
427	 22.4410231641965 
428	 24.9536731604143 
429	 26.1467658144323 
430	 27.3180045107822 
431	 29.6979923858557 
432	 31.0064549084202 
433	 31.6499304969701 
434	 32.3901962958128 
435	 34.5028783308454 
436	 36.2179816209795 
437	 37.5493436065385 
438	 39.1367578036145 
439	 40.7016542473521 
440	 42.6151047726061 
441	 44.8930449017536 
442	 46.5045391823288 
443	 47.2229186386829 
444	 47.5928330019627 
445	 48.9190126726414 
446	 50.1750216027587 
447	 51.7936741289791 
448	 54.2728826030279 
449	 56.0532343790892 
450	 57.1053648527284 
451	 57.7777501190136 
452	 58.770538703659 
453	 61.1067784040421 
454	 63.8253137837889 
455	 64.582817005131 
456	 65.6247145977834 
457	 66.9537341721946 
458	 68.2714371146161 
459	 70.4912352770963 
460	 72.5004551765177 
461	 74.1382913816444 
462	 77.2520193534165 
463	 79.9307977641255 
464	 82.044569280758 
465	 84.3236566018467 
466	 86.1174496766812 
467	 87.9127492646069 
468	 90.2541268580934 
469	 93.128020559707 
470	 95.4937556276626 
471	 97.4496771495342 
472	 101.072052817266 
473	 103.139480727747 
474	 104.911262121997 
475	 109.493853435574 
476	 114.139261168796 
477	 117.683411299596 
478	 119.890372102678 
479	 122.575606823356 
480	 126.034027801 
481	 130.039230062321 
482	 133.642496689501 
483	 137.885234097687 
484	 142.138752010298 
485	 145.247221836699 
486	 148.848652562643 
487	 153.168821471521 
488	 158.101949752954 
489	 163.331195460457 
490	 168.77250320454 
491	 174.316838809891 
492	 179.814146072721 
493	 185.251700298735 
494	 190.399379555577 
495	 195.210074177646 
496	 202.82240424897 
497	 209.596664216158 
498	 213.190960544316 
499	 218.876085865747 
500	 225.667078406604 
501	 232.84644309083 
502	 240.070121002182 
503	 246.890691695249 
504	 253.976861715642 
505	 262.254090247366 
506	 269.323756201542 
507	 275.132136709345 
508	 280.542090523033 
509	 287.989263444407 
510	 296.459196127083 
511	 305.374465983644 
512	 314.843956407035 
513	 323.203410065292 
514	 331.161701680443 
515	 340.377449244046 
516	 349.410434324712 
517	 358.154815898952 
518	 366.767653200958 
519	 375.400166429761 
520	 384.914894169588 
521	 395.136552456049 
522	 404.307798885699 
523	 413.871576177873 
524	 424.068780525535 
525	 434.576206340394 
526	 444.388554220005 
527	 454.588466973436 
528	 465.713113813604 
529	 474.191399742064 
530	 484.37340774868 
531	 497.033190275632 
532	 506.887669307272 
533	 516.753582446531 
534	 526.957213867694 
535	 536.840723264096 
536	 547.462550055631 
537	 557.984622605862 
538	 567.747575545108 
539	 578.766321283619 
540	 589.980969241365 
541	 600.437888347923 
542	 609.313806388058 
543	 618.46881204127 
544	 628.378642834239 
