Wavelength	reference_whiteABS00000.asd
350	 17.8527421805438 
351	 18.9149804126334 
352	 20.3463557672653 
353	 21.5008848240411 
354	 22.6846426267079 
355	 24.0288888992553 
356	 25.5480582325964 
357	 27.0507136285215 
358	 28.1942333334626 
359	 28.9721813040003 
360	 29.6643503252767 
361	 29.8977685932029 
362	 31.0195275944264 
363	 33.6824116733559 
364	 34.0534500645014 
365	 34.1129423941641 
366	 34.7896303191017 
367	 35.5157235434311 
368	 36.3157399466291 
369	 37.1941714703514 
370	 38.2827839759172 
371	 40.6188586590593 
372	 42.2572600462624 
373	 42.4132917751144 
374	 42.908196767884 
375	 42.9097523438094 
376	 43.3652942753006 
377	 45.7624469483019 
378	 47.1240229159772 
379	 48.3929333428053 
380	 50.4087076188887 
381	 51.7494450150192 
382	 53.8550320533447 
383	 56.7259002511592 
384	 59.1221355261429 
385	 60.4829068623834 
386	 62.2674764967648 
387	 65.8875162517677 
388	 69.8103645168626 
389	 73.6945184617583 
390	 77.4694942270122 
391	 81.355926694018 
392	 85.1357376672777 
393	 90.3101536003402 
394	 98.3297464823789 
395	 102.973935324263 
396	 107.945581501905 
397	 115.995336681438 
398	 124.215063118579 
399	 133.500766314155 
400	 143.60998095596 
401	 153.553820612302 
402	 165.9308686786 
403	 178.803119020537 
404	 190.455141162053 
405	 205.174576364298 
406	 222.769967302621 
407	 241.783452412099 
408	 258.74492939919 
409	 279.424903032349 
410	 302.423278646747 
411	 323.803047452306 
412	 347.181712657843 
413	 373.222521620307 
414	 401.053849851983 
415	 426.613203684054 
416	 453.248978683283 
417	 481.36252543579 
418	 508.84048162587 
419	 536.88261428326 
420	 564.86583595633 
421	 592.152588320707 
422	 620.92626537616 
423	 648.640849739061 
424	 674.185757370942 
425	 699.52653994319 
426	 724.437391592522 
427	 749.187936510102 
428	 774.07038381188 
429	 796.727246700793 
430	 818.720629342384 
431	 841.338287166106 
432	 862.01877040024 
433	 881.627219685059 
434	 900.626738894549 
435	 918.879393519214 
436	 937.216252645457 
437	 955.422880399398 
438	 972.880460324269 
439	 989.625517055336 
440	 1005.65377391555 
441	 1021.05934026919 
442	 1036.08524697996 
443	 1051.31440344496 
444	 1066.56051433685 
445	 1080.91594200594 
446	 1095.2205686619 
447	 1110.17725023471 
448	 1125.82568652472 
449	 1138.31919598103 
450	 1150.88742334187 
451	 1165.21346504019 
452	 1178.60320920347 
453	 1191.58278001189 
454	 1204.58024995397 
455	 1218.09653641528 
456	 1232.21461731595 
457	 1246.53551635313 
458	 1260.8895882196 
459	 1276.82623355516 
460	 1293.7514965017 
461	 1310.91297513583 
462	 1327.23829979592 
463	 1344.50634881797 
464	 1362.82835693917 
465	 1381.46160045089 
466	 1400.5631611108 
467	 1420.74128340973 
468	 1442.25232353224 
469	 1463.47492933304 
