Wavelength	2mm_blackPA00000.asd
350	-1.58327071322009 
351	-1.52718920889786 
352	-1.2274835935115 
353	-0.765055779436272 
354	-1.19563166074763 
355	-1.24213740943646 
356	-5.18030014466784E-02 
357	 1.1677594389776 
358	-0.22339748080142 
359	-2.61593550740329 
360	-0.911038622783847 
361	-4.18539969407149E-02 
362	-6.16518660105284E-02 
363	-0.131812162536516 
364	-0.659467369688324 
365	-1.80306036049462 
366	-2.46078974805698 
367	 0.27243120842403 
368	-0.768072154238446 
369	-3.01696495064582 
370	-1.60444628294089 
371	-9.24334946601459E-02 
372	 0.217783563922403 
373	-0.652689369087856 
374	-0.414463014321298 
375	-1.34624191828926 
376	-2.47011621747844 
377	-1.49806346955188 
378	-0.978005825197983 
379	-0.984835390134136 
380	-1.25828518224706 
381	-1.83885514982271 
382	-2.28196993316589 
383	-1.86072634063354 
384	 0.338599143737881 
385	 0.18657697888712 
386	-1.26006967400093 
387	-1.89593873249313 
388	-1.88121330284383 
389	-1.44495375429387 
390	-0.814546151005139 
391	-0.147461506145116 
392	 1.50426181057941E-02 
393	-0.761077936928469 
394	-2.4460033446729 
395	-1.49290559351387 
396	-1.00984843824646 
397	-2.50228993699285 
398	-0.871386894782672 
399	-1.2378388864837 
400	-2.79039361273638 
401	-0.365608228273101 
402	 0.542554092486593 
403	 2.76155298063064E-02 
404	-0.517546432163513 
405	-0.207027695934298 
406	-0.203354636308399 
407	-0.98811404372263 
408	-2.08310034179888 
409	-1.31378519512317 
410	-4.19096764231098E-02 
411	-0.867323245350497 
412	-1.05996832154824 
413	-1.13769322293493 
414	-1.59722394665877 
415	-1.65052630584035 
416	-1.49513176035867 
417	-1.49624716958157 
418	-2.18917623519143 
419	-1.91560347746429 
420	-1.19690045962791 
421	-1.00356130495219 
422	-1.15709341544575 
423	-0.42194161461966 
424	 0.881579827706022 
425	-1.02578482534149 
426	-1.46158689661031 
427	-0.269007809440981 
428	 0.366773897999217 
429	 0.597239407358914 
430	 0.647917480844791 
431	 0.534636565111825 
432	-0.983482483938777 
433	-1.47072029902813 
434	-1.00890841949649 
435	-3.15305099599884 
436	-3.15523994774976 
437	-1.62891746429663 
438	-1.11432005481774 
439	-1.5555329708063 
440	-1.65711088254102 
441	-0.82621404870279 
442	-0.801651669893434 
443	-1.06333802239942 
444	-1.22054128192851 
445	-0.936107087613631 
446	-1.0197568573112 
447	-0.962645736720314 
448	-0.324238189680571 
449	-1.8306664107545 
450	-2.65481785915599 
451	-1.46651230606624 
452	-0.873586383454068 
453	-0.572251093835879 
454	-0.645509419010566 
455	-1.28055418832506 
456	-1.21777068083805 
457	-1.3151516648589 
458	-2.36591693556248 
459	-2.28790491316759 
460	-1.58958221328091 
461	-0.945487298425293 
462	-1.26127524089512 
463	-1.01350995254388 
464	-0.904998105221399 
465	-2.61825582296843 
466	-2.48828300291741 
467	-1.33673974046364 
468	-0.743844260307804 
469	-1.50739409171153 
470	-1.76421625941537 
471	-1.22136067920329 
472	-2.2114463288335 
473	-2.26404816815503 
474	-1.22444492381854 
475	-0.130866297941288 
476	-1.22693532859444 
477	-2.5270160356564 
478	-2.16012447343621 
479	-1.47141511729102 
480	-1.05471538941928 
481	-0.932923334983002 
482	-0.275224236382424 
483	-0.779579892261948 
484	-2.27903279688085 
485	-3.63524446200639 
486	-3.00084080142934 
487	-1.59936735186737 
488	-0.692289405502935 
489	 0.526553439835539 
490	-0.211797705589552 
491	-2.37525135460849 
492	-1.56701256338505 
493	-2.26023275989475 
494	-3.29171239961343 
495	-1.68588328763345 
496	-1.26722930680844 
497	-2.26258004561655 
498	-3.78291391200421 
499	-3.16634623359615 
500	-2.89734919885641 
501	-3.07520553501499 
502	-0.460188615161393 
503	-6.43871889014519E-02 
504	-1.27760086283058 
505	-1.35506932207958 
506	-2.20677943118428 
507	-3.02554786717043 
508	-2.97212274371326 
509	-2.24425490149768 
510	-2.22311635410721 
511	-2.95564227568065 
512	-2.66146396967829 
513	-2.78036884349424 
514	-3.1753351197542 
515	-3.07422147953329 
516	-2.24131401772539 
517	-1.61427206541546 
518	-1.77604215254874 
519	-1.17224559958198 
520	-1.4005663323419 
521	-2.67188473442833 
522	-3.23985832601341 
523	-2.77186810749356 
524	-2.04575288876305 
525	-2.360487947591 
526	-1.95420535422991 
527	-1.30045894563892 
528	-1.27378524039527 
529	-2.994191890013 
530	-3.21032343900803 
531	-1.41709517490611 
532	-1.63667882338561 
533	-2.158282671759 
534	-2.39768527517942 
535	-2.22634495264183 
536	-3.67471281573152 
537	-4.32956730909488 
538	-2.42827305588465 
539	-3.68780197019009 
540	-3.82804228226978 
541	-1.4195591300092 
542	-0.656932724392234 
543	-1.83919924007564 
544	-3.90726931918526 
545	-4.5903870020718 
546	-2.84692409709422 
547	-0.873316426902668 
548	-1.20946813683215 
549	-3.51982309009401 
550	-4.64058045862593 
551	-3.32653296488843 
552	-2.36353635396054 
553	-2.00023229770013 
554	-2.09009631967063 
555	-2.03480745585468 
556	-2.76386853963236 
557	-3.05312370117271 
558	-1.80513917713219 
559	-3.03075557121429 
560	-4.36547687973331 
561	-3.97210210722767 
562	-2.36689674622583 
563	-1.93443813747441 
564	-2.94234346280328 
565	-3.68744965113309 
566	-3.68161114879634 
567	-2.81118911155985 
568	-1.48659212316778 
569	-2.32911437137391 
570	-3.53966353848728 
571	-3.68247844221261 
572	-4.2828219265762 
573	-3.71685582474838 
574	-2.46496331928951 
575	-3.74370247230464 
576	-3.60949499409231 
577	-2.46232542750799 
578	-2.44654174989688 
579	-4.05079294264017 
580	-4.77735078568634 
581	-3.16267463869354 
582	-3.59897714057841 
583	-2.79511326779209 
584	-0.400074132917285 
585	-0.815333947592072 
586	-2.4373744603629 
587	-3.83564532073922 
588	-3.44502795242054 
589	-2.67846856903776 
590	-1.67345672445496 
591	-0.671791013661649 
592	-1.6453595137142 
593	-2.83551536202814 
594	-3.40193514084714 
595	-4.7098728708029 
596	-5.2012281640519 
597	-4.25638202648924 
598	-1.87659766901563 
599	-1.16718034213589 
600	-2.07009625355522 
601	-3.43879960018105 
602	-3.94376301415261 
603	-3.73511664443961 
604	-3.15274963840942 
605	-2.50695523900962 
606	-2.25336205559829 
607	-2.13210358727678 
608	-1.12626953790868 
609	-2.53026937925817 
610	-4.62727236573155 
611	-4.33126921363304 
612	-3.34143975275821 
613	-2.13008220147903 
614	-1.30914264683546 
615	-2.57789978757815 
616	-3.4795454136608 
617	-3.27981846527981 
618	-3.27393978706251 
619	-3.01202756902008 
620	-2.7211921659564 
621	-2.83422323835512 
622	-2.94515365327425 
623	-3.24522581599506 
624	-3.73341258744095 
625	-3.25506457015936 
626	-2.72506206717275 
627	-2.53496991121506 
628	-2.04432848243822 
629	-3.00453108712723 
630	-4.03613044313832 
631	-2.16803559902874 
632	-2.48959530830756 
633	-3.61138385912462 
634	-3.28517725333903 
635	-2.84997480602315 
636	-1.98804123402847 
637	-1.1786778489362 
638	-3.06528874911978 
639	-4.50389118748485 
640	-4.35993456951072 
641	-2.81709287335849 
642	-2.89128759330547 
643	-3.16395526626636 
644	-1.62049546669997 
645	-1.82735623482805 
646	-3.0196952478047 
647	-4.03725695372058 
648	-3.70031098457481 
649	-3.30068940634948 
650	-3.13404167525631 
651	-2.56163732889674 
652	-2.55918860197896 
653	-3.17958759517671 
654	-4.0320033168055 
655	-4.13405898837495 
656	-3.62988030857383 
657	-2.98281135875122 
658	-3.09136150345873 
659	-3.21890507652713 
660	-3.13757108240256 
661	-3.29023629609866 
662	-2.95163170824749 
663	-2.4500863364749 
664	-2.50550380688557 
665	-2.09800363030209 
666	-1.93093369865129 
667	-2.58017425829149 
668	-3.07909838873751 
669	-2.85087358365377 
670	-2.14536089848382 
671	-2.72707409292674 
672	-2.21738661067711 
673	-1.52813311283375 
674	-3.17448963598532 
675	-3.26575975250474 
676	-2.66890177607504 
677	-2.94003310556292 
678	-3.74712486415338 
679	-3.29203098021727 
680	-1.60194742322081 
681	-2.60012044906419 
682	-3.08901704079483 
683	-2.8616800133282 
684	-3.54569125437591 
685	-3.99732351192658 
686	-3.67908238086876 
687	-2.59762192780997 
688	-3.04755238432657 
689	-3.58347944141026 
690	-3.28404030425849 
691	-3.04753235744213 
692	-2.83722725834499 
693	-2.69279579131322 
694	-2.68666419689666 
695	-3.02367037146736 
696	-3.34155260037449 
697	-3.24541384965544 
698	-3.58708300505446 
699	-3.86377283990303 
700	-3.74070395458483 
701	-3.67518372306103 
702	-3.52362416113858 
703	-3.44550281588694 
704	-3.95264483675144 
705	-3.06856254251595 
706	-2.04341376117208 
707	-2.89147543398411 
708	-3.17579429078989 
709	-2.886636989382 
710	-2.45498561860776 
711	-2.67302089671725 
712	-2.75389870626236 
713	-2.7474074067891 
714	-3.77794957125825 
715	-2.65256761047181 
716	-1.54618697324761 
717	-4.01763901631027 
718	-3.91939239714196 
719	-2.56537267359088 
720	-1.8493600530697 
721	-1.71868937130778 
722	-2.63884416230542 
723	-3.9476952970801 
724	-3.41107878044443 
725	-3.03785681187851 
726	-3.28016133095894 
727	-3.83768781122913 
728	-2.74319266487769 
729	-1.50449199242749 
730	-1.65210803010834 
731	-3.02719870529362 
732	-3.84313319724578 
733	-3.56250546960545 
734	-3.32229400184765 
735	-1.69690670602318 
736	-0.239334686627081 
737	-1.52124112906184 
738	-3.1424432104392 
739	-3.90268807348587 
740	-3.44752110338334 
741	-3.63523700914272 
742	-2.97601264222954 
743	-1.56637815899404 
744	-1.74254608517166 
745	-2.20212133037745 
746	-2.8757744834692 
747	-4.00539014793984 
748	-4.15956186023018 
749	-4.0277958459499 
750	-4.2127436822134 
751	-3.63730490525813 
752	-3.45184104458955 
753	-3.9556525286557 
754	-4.41850125655183 
755	-3.81512937838693 
756	-2.79346575925466 
757	-2.67656559652112 
758	-2.74672249881247 
759	-3.12761262224766 
760	-3.72421449459841 
761	-3.31477026999432 
762	-3.10960988913199 
763	-3.365969822337 
764	-3.23332456745791 
765	-2.4216231563901 
766	-1.86679132935502 
767	-2.83065109408692 
768	-4.33880637616327 
769	-5.02082118144272 
770	-4.40025963333456 
771	-4.76578648708708 
772	-3.87640942349536 
773	-2.17674025090401 
774	-2.94804972644006 
775	-2.88825602859194 
776	-2.55919687008167 
777	-3.27735016974743 
778	-1.76487382953551 
779	-0.973165876037477 
780	-2.56136106675334 
781	-3.55755344760054 
782	-4.25194550249107 
783	-4.45362829956255 
784	-3.66644659818205 
785	-3.39606914978774 
786	-3.51053485400193 
787	-3.39524471179089 
788	-2.52175043329427 
789	-2.66663286621077 
790	-3.97812779487706 
791	-2.74140934579072 
792	-2.15732165146577 
793	-2.48520904659897 
794	-2.27734030246632 
795	-2.14069424468298 
796	-2.14749206170241 
797	-2.29923236316025 
798	-2.75106044802448 
799	-3.19411214447834 
800	-3.33545457424626 
801	-2.86398224575464 
802	-2.21472339358457 
803	-1.95027573385666 
804	-2.53305521780217 
805	-1.96006238828186 
806	-1.90778367063142 
807	-3.3485175780756 
808	-3.19193703171832 
809	-2.13430069081314 
810	-1.37867987410215 
811	-2.80861755058063 
812	-3.34028045187616 
813	-3.06495486707971 
814	-2.97144191527595 
815	-2.15017086843928 
816	-2.18519665939411 
817	-3.60796045832233 
818	-4.36484442941659 
819	-3.54463263672802 
820	-2.19359532149337 
821	-2.7806761166995 
822	-3.88126187581542 
823	-4.21228498077253 
824	-3.19077514669831 
825	-3.14644285586059 
826	-2.97068096438639 
827	-2.48344107375413 
828	-3.07664426556241 
829	-3.52210447905986 
830	-3.2127909685939 
831	-2.08810227653609 
832	-3.07851472056598 
833	-3.66693733095688 
834	-2.6512748809023 
835	-4.49942454464117 
836	-4.75939774941137 
837	-2.91176343207495 
838	-1.56990906282532 
839	-2.67383996422865 
840	-4.18036432821425 
841	-3.66154875983499 
842	-2.19012788774772 
843	-2.52704708709171 
844	-4.73398367747489 
845	-4.66321603396856 
846	-4.15183968587746 
847	-3.54850414838064 
848	-2.83813573575717 
849	-2.9225945190767 
850	-3.57877050340642 
851	-4.23698982736166 
852	-3.80576110119487 
853	-3.28046228947712 
854	-2.89258042285176 
855	-2.36738145305113 
856	-2.69988252150681 
857	-3.06822450880714 
858	-2.74727346969729 
859	-3.32307654967244 
860	-3.21261245265702 
861	-2.4674964675496 
862	-3.39233822621436 
863	-3.57456111908192 
864	-2.86099869198674 
865	-2.0277020218679 
866	-2.59681924293075 
867	-2.69390473826176 
868	-1.78575161051433 
869	-2.73345397785304 
870	-3.55132164480785 
871	-3.5612316376682 
872	-2.81838510727965 
873	-3.01421514295699 
874	-3.58836587881252 
875	-3.7796974346563 
876	-3.27266848716335 
877	-3.27489385964771 
878	-3.61569296230355 
879	-3.03558615337871 
880	-2.76530514883728 
881	-2.41770406001694 
882	-1.7871683196033 
883	-3.01588878213305 
884	-3.9337033718677 
885	-3.88359326073858 
886	-4.11031710915746 
887	-2.34581315758287 
888	-0.829514683137857 
889	-2.24340690808939 
890	-3.58937748515828 
891	-3.91338988386582 
892	-3.19379485526293 
893	-2.53807907281606 
894	-2.57017117764492 
895	-3.03134075696417 
896	-3.37909043878906 
897	-4.66043670893897 
898	-4.97334786942615 
899	-3.52221233651678 
900	-1.98881309674883 
901	-1.71280510978889 
902	-2.64219379065553 
903	-3.78847194005543 
904	-3.76250494428329 
905	-3.18190802913729 
906	-2.62812102050229 
907	-1.68459406513274 
908	-1.84633541953661 
909	-2.82215158730514 
910	-3.25910168486927 
911	-3.27998479544406 
912	-2.95675245874276 
913	-2.63434064828698 
914	-3.40848805991422 
915	-4.15087459292404 
916	-4.16858885551224 
917	-3.17439561695112 
918	-2.75966544171381 
919	-2.92504761428284 
920	-3.29950672696471 
921	-3.53997054086439 
922	-2.78849085135147 
923	-1.71369759208042 
924	-2.06173462618141 
925	-3.17912682691888 
926	-3.13576607618434 
927	-1.30792728435871 
928	-1.58280998653492 
929	-3.15882048039906 
930	-4.17441263869103 
931	-2.26739617716371 
932	-2.99351267281486 
933	-3.83092705966861 
934	-2.59016050886836 
935	-2.99089388477599 
936	-2.32831958516573 
937	-0.929146318034405 
938	-1.20570041735509 
939	-2.47926082919704 
940	-3.50780545835363 
941	-3.54087151971703 
942	-3.67071186374873 
943	-1.88346698989701 
944	-0.190517530271298 
945	-2.61327682100834 
946	-2.73353646204339 
947	-1.64137830905354 
948	-1.43390569853138 
949	-4.08179830759217 
950	-4.09395537939433 
951	-2.17168133371344 
952	-2.25749973166693 
953	-3.34823741256747 
954	-3.84935017395014 
955	-3.17495408262948 
956	-3.01759219164558 
957	-2.85537747791159 
958	-2.73424302405612 
959	-2.82983135311096 
960	-2.80266561892825 
961	-2.90633171839775 
962	-3.21888301507356 
963	-3.45739529453376 
964	-3.4929518992706 
965	-3.67309790105444 
966	-4.2346583276833 
967	-4.30328622352574 
968	-5.8968380732726 
969	-5.35032852160319 
970	-1.31100687306939 
971	-1.37476988241264 
972	-3.23834762498005 
973	-4.5676978191983 
974	-9.90721008614074 
975	-10.5022402172528 
976	-9.7131719573221 
977	-4.65660056970977 
978	 0.815255847315636 
979	 5.63065972379332 
980	 4.7210566166589 
981	 3.18686737707971 
982	 3.57659996478605 
983	 8.24868475133226E-02 
984	-2.40875847137003 
985	-3.45274940941486 
986	-4.37305507767851 
987	-7.0552641065524 
988	-6.28489429095494 
989	-1.07209035932954 
990	 0.389037270267082 
991	 1.51470391831891 
992	 0.975713117522653 
993	-1.67356778054381 
994	-5.5297281360855 
995	-6.39312758909783 
996	-4.47677693356299 
997	-3.00090045618443 
998	-0.420513204909542 
999	 1.11092632271434 
1000	-0.995545103739723 
1001	-2.93155949727261 
1002	-2.60593312009677 
1003	-2.43195751868385 
1004	-0.898178027866493 
1005	 0.895769825478236 
1006	 6.41657208456071 
1007	 6.00489316772444 
1008	 3.13710266532098 
1009	-1.31811686850398 
1010	-5.49722494581722 
1011	-11.0185752784267 
1012	-12.7920108274289 
1013	-7.63147513299704 
1014	-3.91401339006618 
1015	-2.65792159453561 
1016	 0.516553381996315 
1017	 1.1192879361534 
1018	-0.91689563074031 
1019	-0.910061900160492 
1020	-3.71811610259386 
1021	-6.12959751810831 
1022	-3.16402316992056 
1023	-1.51296562477576 
1024	 1.80131719293859 
1025	 4.64972442904938 
1026	 4.64491987933487 
1027	 2.46286503784417 
1028	 1.05210780273585 
1029	 0.628181369809311 
1030	 2.66696968235652 
1031	 3.31303079210824 
1032	-1.80535434819822 
1033	-4.5931803348224 
1034	-3.96093725948689 
1035	-4.86829997363728 
1036	-1.95039933660906 
1037	 0.383308033231593 
1038	-2.03003044886779 
1039	-2.72410185095201 
1040	-3.39763405788627 
1041	-5.18094918204457 
1042	-5.73228353707439 
1043	-4.60019494131439 
1044	-4.33686534697926 
1045	-5.15765690114602 
1046	-5.56101930918349 
1047	-5.81774543102927 
1048	-4.93124457576389 
1049	-4.32237763777188 
1050	-1.58631809634467 
1051	 1.78644672855762 
1052	 2.37132961788686 
1053	 3.20078334281507 
1054	 2.05945754687337 
1055	 0.347156902698644 
1056	-0.892438793416134 
1057	-1.63880006627796 
1058	-0.960223708511807 
