Wavelength	reference_blackPC00000.asd
350	 20.234860780008 
351	 21.8052169884369 
352	 24.1742726695328 
353	 22.9757099069119 
354	 24.3407563893828 
355	 27.0151651901255 
356	 28.7341255585206 
357	 27.713674653047 
358	 28.420665237891 
359	 30.8441022956761 
360	 31.2934894894715 
361	 33.3696099788941 
362	 35.0684997782736 
363	 34.3885967749707 
364	 34.8104061682794 
365	 35.4773470592023 
366	 36.4212177567981 
367	 39.0539933781914 
368	 39.9572623098873 
369	 39.5244646037809 
370	 39.4517139961896 
371	 40.3921100895853 
372	 41.4906284651802 
373	 42.4080922844798 
374	 44.2403248925699 
375	 44.9634606126149 
376	 45.0914207815957 
377	 46.4198835304273 
378	 49.6265072179348 
379	 51.6553999406524 
380	 51.0790047242097 
381	 52.7153921430555 
382	 54.9325014544855 
383	 57.4817239035569 
384	 61.1913497850163 
385	 63.8078642781262 
386	 66.3274840342667 
387	 69.9327576270199 
388	 72.2024397258356 
389	 75.2825388264757 
390	 79.9414173353465 
391	 84.6654048604661 
392	 89.2955996263531 
393	 94.4461608915295 
394	 100.839740222608 
395	 106.129835341299 
396	 111.682168587386 
397	 118.672272380274 
398	 126.600446047853 
399	 135.395572096503 
400	 145.173685931431 
401	 156.196323944443 
402	 167.856682132618 
403	 181.044334932496 
404	 196.487107251623 
405	 212.713055967166 
406	 228.9804763533 
407	 245.426276211475 
408	 263.277138251772 
409	 284.142652713174 
410	 307.515400992076 
411	 331.771142635045 
412	 355.63057254169 
413	 380.483112420393 
414	 407.352643326452 
415	 435.453342320739 
416	 462.679098560334 
417	 489.076615022667 
418	 516.645111402697 
419	 546.775539747087 
420	 576.252133533092 
421	 601.985891949602 
422	 629.647784875617 
423	 657.249363146645 
424	 683.673288125137 
425	 710.244660806073 
426	 737.663122993427 
427	 764.089358835488 
428	 786.46594614955 
429	 808.982819960415 
430	 831.330568214015 
431	 852.819971859455 
432	 874.773356497222 
433	 895.721277583317 
434	 915.457744702032 
435	 935.591922462486 
436	 952.261791180399 
437	 967.347999946074 
438	 984.577417954936 
439	 1001.88881748369 
440	 1018.72395498284 
441	 1035.0994189934 
442	 1052.57506032091 
443	 1066.64382282244 
444	 1078.80357320466 
445	 1096.07830395664 
446	 1111.58837516257 
447	 1125.97770908999 
448	 1141.32519532981 
449	 1154.33891643786 
450	 1167.97400635424 
451	 1183.04543209013 
452	 1194.36093656124 
453	 1207.57610826689 
454	 1223.1005186888 
455	 1237.94162670922 
456	 1252.12047888356 
457	 1265.63877734562 
458	 1279.02607171173 
459	 1294.68109969158 
460	 1311.20543459006 
461	 1328.09683311483 
462	 1347.12668373606 
463	 1364.73675839512 
464	 1381.6562367773 
465	 1400.83381866293 
466	 1420.29200740251 
467	 1439.89446956555 
468	 1460.08481942195 
469	 1482.22599126134 
470	 1505.40425647949 
471	 1529.09999133455 
472	 1553.38640555552 
473	 1578.91266559161 
474	 1605.86420273482 
475	 1634.2115569568 
476	 1664.6868296166 
477	 1694.45293707651 
478	 1722.07110728115 
479	 1752.9487818773 
480	 1786.53403087058 
481	 1821.34480463078 
482	 1854.44169304355 
483	 1889.85384723702 
484	 1927.3673588803 
485	 1965.11313347383 
486	 2004.40118210711 
487	 2044.62012906985 
488	 2085.34660070579 
489	 2127.50188492267 
490	 2172.61007939595 
491	 2219.93406461308 
492	 2265.54934430815 
493	 2314.11193168533 
494	 2364.94268497571 
495	 2415.37042016391 
496	 2466.72012026733 
497	 2518.40152176708 
498	 2570.70916268154 
499	 2627.99731981952 
500	 2685.89314633858 
501	 2743.02337542072 
502	 2801.94040497018 
503	 2859.33171845955 
504	 2916.65951726037 
505	 2977.08360388295 
506	 3038.02469227908 
507	 3100.07444863088 
508	 3164.13947245508 
509	 3230.92871658669 
510	 3297.76068770331 
511	 3363.46518659925 
512	 3428.37049107658 
513	 3498.45794752179 
514	 3571.72540493777 
515	 3642.98943580063 
516	 3717.9920464101 
517	 3793.64738872271 
518	 3866.96408960475 
519	 3939.92870025739 
520	 4015.99141587168 
521	 4095.09901433035 
522	 4172.02684656007 
523	 4250.72499154368 
524	 4330.6497602839 
525	 4409.46348341725 
526	 4488.73107471636 
527	 4569.26228978699 
528	 4650.92473719223 
529	 4730.4269755589 
530	 4809.77301014933 
531	 4890.34483879901 
532	 4972.99894459691 
533	 5052.15631263968 
534	 5128.93454569684 
535	 5207.90206144516 
536	 5285.0807916718 
537	 5361.59203357595 
538	 5438.80933715775 
539	 5514.62709905899 
540	 5589.36881325807 
541	 5663.06910296712 
542	 5734.63555550581 
543	 5807.71814402338 
544	 5880.99711765708 
545	 5950.13767400305 
546	 6019.70570709108 
547	 6089.16136436911 
548	 6157.09754165682 
549	 6224.42603367149 
550	 6290.11007684895 
551	 6353.80024864433 
552	 6416.54236155194 
553	 6480.1294905835 
554	 6542.62742791396 
555	 6599.11876095934 
556	 6656.54279819041 
557	 6712.6946006209 
558	 6763.77849572075 
559	 6813.76224916119 
560	 6862.04163374935 
561	 6907.33143092197 
562	 6948.17883598321 
563	 6981.7794595343 
564	 7008.28412247479 
565	 7030.73690247697 
566	 7048.33964024748 
567	 7059.41041480057 
568	 7062.39422898457 
569	 7060.91709550147 
570	 7053.25841019518 
571	 7039.3583295714 
572	 7026.32837784883 
573	 7009.33142834879 
574	 6987.27065452349 
575	 6963.64994940124 
576	 6932.58605338537 
577	 6894.65715279364 
578	 6853.09018477822 
579	 6806.92802969351 
580	 6758.86949390147 
581	 6711.3182136567 
582	 6662.48004317545 
583	 6621.41153966835 
584	 6588.4775621545 
585	 6550.53790346393 
586	 6512.58594380517 
587	 6473.72036724837 
588	 6431.25484426185 
589	 6395.27691267261 
590	 6365.51205683039 
591	 6340.63604717745 
592	 6326.82627832035 
593	 6317.30934305238 
594	 6307.97594289394 
595	 6299.1641837909 
