Wavelength	4mm_blackPETG00000.asd
350	 1.33161966395922 
351	 2.66347333720017E-02 
352	-1.94773516389013 
353	-1.20139684348296 
354	-0.708928532009687 
355	-0.104689951475562 
356	 0.7641236321221 
357	-0.406378715512206 
358	-1.08303586067017 
359	-0.623324338689515 
360	 1.19748457913796E-02 
361	-0.739924051795286 
362	-0.859005234042544 
363	 1.09800817688117 
364	 0.304906534908358 
365	-0.683938464877385 
366	-0.549845917348315 
367	 0.300824172861283 
368	 0.775744052358196 
369	 0.476456516134885 
370	-0.415784086518635 
371	 0.148703937692714 
372	-0.182578030750978 
373	-1.93653243568181 
374	-1.36815188949242 
375	-0.779782558051005 
376	-0.270798436362939 
377	 0.915910934638326 
378	 1.9520547417973 
379	 1.60247515964676 
380	-0.256435296505178 
381	-0.517843865006609 
382	-0.660759920008473 
383	-0.848868225567744 
384	-0.187355373479858 
385	-0.310644354984681 
386	-0.92056996207619 
387	-1.39263657454954 
388	-2.3050152652022 
389	-2.47164883607797 
390	-1.71516230881168 
391	-1.45861988080344 
392	-1.25162017199548 
393	-1.074250448655 
394	-1.03529229526222 
395	-1.28345188103997 
396	-1.6241681307286 
397	-1.6363813323497 
398	-0.161257803564781 
399	 0.159206029610668 
400	-0.449713664518874 
401	 0.401327736858488 
402	 0.896920739247826 
403	 0.383049813279427 
404	-0.790692627690428 
405	 1.18931786735864 
406	 2.22448399163812 
407	 0.735732236831906 
408	-0.842733120876885 
409	-1.5001778205196 
410	-1.31993346829811 
411	-1.0034657387348 
412	-0.670680474182945 
413	-0.100518035927252 
414	 0.57841431463638 
415	 9.14020683616548E-02 
416	-1.10105418461372 
417	-1.84084351352094 
418	-0.295432585982154 
419	 0.744809523454639 
420	 0.314573102512897 
421	-1.36375689877317 
422	-0.634688948469196 
423	-0.318682725605483 
424	-1.76564951478005 
425	-3.12158186125988 
426	-2.75174723583562 
427	-1.39451564346397 
428	-1.13193758813506 
429	-0.135577922276888 
430	 0.232227059118831 
431	-0.916630629185651 
432	-0.628251336968107 
433	-0.550957272900129 
434	-1.15901046523707 
435	-1.35181401772694 
436	-1.78449578947156 
437	-1.75360358644579 
438	-0.385159347781742 
439	 0.021713807557861 
440	 5.56848211751958E-02 
441	 0.177012752752426 
442	-0.656107840745323 
443	-1.41032349433518 
444	-1.42802526500812 
445	-0.334477232584399 
446	-0.724725029588901 
447	-1.00841969133781 
448	 0.70093177397877 
449	-0.539101752166021 
450	-0.970352111143548 
451	 0.531776977298152 
452	-2.56097690714656 
453	-2.74700136961502 
454	-0.37805018537769 
455	-0.893737100081444 
456	-1.77229166777378 
457	-1.84983190076852 
458	-0.764690184039623 
459	-0.851795597101379 
460	-0.872322265203421 
461	-0.414174227472373 
462	-0.829516097356456 
463	-1.87665340217856 
464	-2.84333496527598 
465	-2.66398411490563 
466	-1.0367398459129 
467	-0.305837665216287 
468	-1.98583694447738 
469	-2.22703790243883 
470	-1.56435319000896 
471	-0.920307321364904 
472	-1.80329761302625 
473	-2.12841430047423 
474	-1.88336894361574 
475	-1.93330910687126 
476	-1.424818975296 
477	-1.08166325983548 
478	-1.39238892970433 
479	-0.985826329875654 
480	-0.903530894888442 
481	-1.30648522944252 
482	-1.09553300183946 
483	-0.752243675452822 
484	-1.17309992186003 
485	-3.11013364474184 
486	-2.62290298706359 
487	-0.928231317491882 
488	-8.77544884815598E-02 
489	-2.39698324484242 
490	-2.77549551592178 
491	-0.933281779666106 
492	-3.01833695042791 
493	-3.92728271974889 
494	-2.79160795026396 
495	-0.633916566666372 
496	-0.536910536120374 
497	-1.35189952692426 
498	-1.59660154894787 
499	-0.97576810584303 
500	-1.55304570330548 
501	-3.12165752354659 
502	-2.48405106140332 
503	-1.27518530657522 
504	-0.635494998215467 
505	-1.47373134029097 
506	-2.56037689649665 
507	-3.07862165446648 
508	-2.75789265342163 
509	-2.96698823967811 
510	-2.04500234657103 
511	-0.442086514396678 
512	-1.63873358635963 
513	-2.34175070022201 
514	-2.53640865402286 
515	-3.39284031928864 
516	-3.43296870022499 
517	-2.62370156927253 
518	-1.48598984290366 
519	-1.52863507719869 
520	-1.99573423240679 
521	-2.56060842410917 
522	-3.65895454610601 
523	-3.76912780829501 
524	-2.94271298915401 
525	-2.11520843044901 
526	-3.03370970308262 
527	-3.82262601579221 
528	-2.96837681132413 
529	-3.25677880449551 
530	-3.58033143599387 
531	-3.36723139313221 
532	-3.05359018259831 
533	-2.04948017198185 
534	-0.909032453275197 
535	-0.823222133035323 
536	-2.33026642582194 
537	-3.42270803134761 
538	-2.5548622163693 
539	-2.76969937434157 
540	-3.31367399154733 
541	-3.58767235691474 
542	-3.6606700125856 
543	-2.29710065087474 
544	-0.996552700405494 
545	-2.89367821326876 
546	-2.62427425434433 
547	-1.72288512150546 
548	-2.55388741572629 
549	-2.3326615699784 
550	-2.36889708023448 
551	-3.05515029717633 
552	-2.2767353779904 
553	-1.02297184600425 
554	-0.712094658309622 
555	-3.24257196730056 
556	-2.80732295428402 
557	-1.87295244448591 
558	-4.15562984376095 
559	-4.73316595211028 
560	-3.40978048453443 
561	-1.26854091776044 
562	-1.40401293468561 
563	-2.23275773746377 
564	-2.80902697356768 
565	-2.56794766439015 
566	-2.38049712607295 
567	-1.93863847995609 
568	-0.833170747743187 
569	-1.33521681488662 
570	-1.87203858229025 
571	-1.44272285710283 
572	-2.29708011631013 
573	-2.99641889870637 
574	-2.85088160910229 
575	-1.89983781992469 
576	-1.37567642909573 
577	-1.68939776860316 
578	-2.73424350021541 
579	-3.01386874383232 
580	-2.76567877344439 
581	-2.523516938656 
