Wavelength	reference_blackPETG00000.asd
350	 20.9490873797429 
351	 20.7100616905711 
352	 20.6661653484854 
353	 21.9140700454736 
354	 23.8310001503332 
355	 25.9217222049613 
356	 27.5111019192789 
357	 27.1537831394196 
358	 26.9493185321499 
359	 28.2378893498229 
360	 31.6000692483417 
361	 31.6195694728843 
362	 32.0133669684131 
363	 36.0233467030201 
364	 35.0413400688009 
365	 33.9722312887663 
366	 35.3389600450547 
367	 38.4237287526735 
368	 39.5756800335813 
369	 39.2750292517222 
370	 39.3330432895065 
371	 39.3211688892663 
372	 39.8188659450092 
373	 40.9485173319064 
374	 41.7283462339476 
375	 43.8106249275338 
376	 46.5503814488082 
377	 48.2215274206538 
378	 49.3761697479904 
379	 50.0760579490745 
380	 50.7436547912913 
381	 52.9520740303016 
382	 56.1939696470016 
383	 59.2433582491759 
384	 60.2436511144297 
385	 61.8612615045852 
386	 64.4491195686355 
387	 67.5815875731575 
388	 70.1028062765943 
389	 73.6317180933545 
390	 78.470247164374 
391	 82.823936535378 
392	 86.4427751864908 
393	 90.4159762678615 
394	 96.2899280910223 
395	 102.985641666358 
396	 110.017343571008 
397	 117.285331673484 
398	 125.434293781754 
399	 134.388338983649 
400	 144.111420430263 
401	 154.613717417151 
402	 167.403548222913 
403	 181.351189565311 
404	 195.276766033992 
405	 211.069175937212 
406	 227.266848676882 
407	 243.726843556403 
408	 262.457789216982 
409	 283.123266858868 
410	 305.083568239415 
411	 327.60615569988 
412	 351.753755928112 
413	 377.261826112996 
414	 403.716338869303 
415	 430.934010910635 
416	 458.048409333478 
417	 485.484684607261 
418	 514.830046516927 
419	 543.531466557054 
420	 571.193587950844 
421	 598.219294117767 
422	 625.747822859634 
423	 652.888411395596 
424	 679.087533786002 
425	 704.585098027809 
426	 729.776813338997 
427	 754.628188797108 
428	 778.831087842362 
429	 802.139602424035 
430	 824.379640907905 
431	 845.706461621905 
432	 867.319756181062 
433	 888.742302889853 
434	 909.063475705236 
435	 926.73924356972 
436	 943.021414136567 
437	 959.723779333657 
438	 978.402865935118 
439	 995.576440819621 
440	 1011.5973784251 
441	 1027.17939390028 
442	 1042.63128182719 
443	 1057.11746366457 
444	 1071.50251924821 
445	 1088.23840331458 
446	 1103.57672415744 
447	 1117.60689880511 
448	 1131.4174897402 
449	 1144.43453446094 
450	 1158.38908328102 
451	 1173.21360516831 
452	 1184.11430912707 
453	 1197.70329937895 
454	 1213.50685506782 
455	 1226.43459077166 
456	 1239.49346945061 
457	 1253.70282771387 
458	 1269.33373039454 
459	 1285.03809815884 
460	 1301.88475645424 
461	 1319.61842606532 
462	 1335.17941843266 
463	 1350.98734914309 
464	 1368.39108240159 
465	 1388.22433864597 
466	 1408.77163947497 
467	 1429.16294868362 
468	 1449.14083960911 
469	 1469.72966049279 
470	 1492.55075752334 
471	 1517.56893399482 
472	 1542.12700258035 
473	 1568.81168265259 
474	 1596.1637365647 
475	 1621.35543387396 
476	 1650.37885610935 
477	 1680.46842110896 
478	 1709.26743274106 
479	 1741.83818651054 
480	 1774.66333138209 
481	 1806.97624661249 
482	 1841.98657016782 
483	 1877.23168800842 
484	 1912.36870579505 
485	 1948.21068521091 
486	 1988.78529866627 
487	 2030.55718654706 
488	 2070.72338242937 
489	 2113.26533790767 
490	 2156.90242567036 
491	 2201.53458176358 
492	 2248.69965273013 
493	 2296.90146915159 
494	 2346.77225852057 
495	 2399.34367493295 
496	 2450.13272321938 
497	 2500.3536033943 
498	 2552.32597574815 
499	 2609.08404697356 
500	 2666.63659564116 
501	 2723.41578990656 
502	 2780.84678325653 
503	 2838.76315517175 
504	 2897.22995118867 
505	 2956.45463846119 
506	 3017.54968020972 
507	 3079.82369002627 
508	 3142.80965952721 
509	 3207.87772008106 
510	 3274.48153100669 
511	 3341.61726732408 
512	 3407.41896310051 
513	 3474.72921503738 
514	 3544.9529989267 
515	 3618.59411071417 
516	 3692.40671419877 
517	 3766.81840563457 
518	 3842.16004291736 
519	 3915.8333839444 
520	 3989.70032829461 
521	 4065.02990607832 
522	 4142.28110247688 
523	 4221.41319737549 
524	 4301.51981213787 
525	 4381.18196076861 
526	 4459.52698383248 
527	 4538.58895846711 
528	 4619.6650060933 
529	 4698.94081341268 
530	 4777.5966196321 
531	 4856.87751500413 
532	 4938.32909527039 
533	 5018.81261602322 
534	 5097.75946065425 
535	 5175.8772240925 
536	 5252.51447022886 
537	 5328.53165788611 
538	 5404.51703036057 
539	 5478.32064612804 
540	 5551.73200907337 
541	 5625.60149621136 
542	 5698.89780907494 
543	 5771.973411889 
544	 5843.63642363767 
545	 5911.85573987447 
546	 5980.50668892268 
547	 6049.50249703095 
548	 6117.60436429117 
549	 6182.96231059205 
550	 6248.31072291928 
551	 6314.39403730958 
552	 6376.98412006515 
553	 6440.01286312922 
554	 6502.20205414603 
555	 6558.47399776639 
556	 6615.26814606363 
557	 6670.41149189212 
558	 6720.40008721996 
559	 6769.7201627878 
560	 6818.94231014285 
561	 6866.36889654364 
562	 6905.88741937379 
563	 6938.87299661066 
564	 6965.94372450893 
565	 6987.26502168779 
566	 7005.06371436648 
567	 7017.47999969008 
568	 7021.56488163761 
569	 7019.16612247223 
570	 7009.78232801992 
571	 6994.85264147774 
572	 6982.79885110634 
573	 6966.26411443895 
574	 6943.77418623737 
575	 6921.00950552809 
576	 6890.85445367584 
577	 6853.58172071516 
578	 6812.39276258422 
579	 6765.98295245151 
580	 6717.08306939236 
581	 6668.83917059225 
582	 6622.73644054992 
583	 6584.5875552775 
584	 6552.48593296687 
585	 6511.90698341866 
586	 6473.19949668857 
587	 6435.63785337201 
588	 6393.93163150974 
589	 6357.53146952829 
590	 6326.60817825678 
591	 6300.73300421543 
592	 6287.41573400246 
593	 6278.64861187222 
594	 6269.82706671755 
595	 6262.62782205935 
596	 6264.78307113451 
597	 6280.63461681085 
598	 6311.98039896364 
599	 6343.24572761838 
600	 6373.16856548849 
601	 6405.09165005311 
602	 6443.20627523143 
603	 6480.94789145082 
604	 6515.25286537126 
605	 6552.98988788917 
606	 6592.85888621539 
607	 6639.40214806747 
608	 6702.76607048389 
609	 6777.59767177681 
610	 6863.16887963591 
611	 6958.29540384829 
612	 7050.58211473132 
613	 7138.69071607785 
614	 7221.89682112776 
615	 7294.58395054751 
616	 7366.35933823352 
617	 7440.47938159809 
618	 7512.66053012627 
619	 7585.74713067718 
620	 7660.58654048804 
621	 7737.11842823626 
622	 7813.0936763577 
623	 7891.53068419676 
624	 7974.19987397066 
625	 8055.14161106104 
626	 8133.66116189612 
627	 8210.09849664399 
628	 8286.73913472846 
629	 8358.22883855505 
630	 8423.68711790139 
631	 8484.85736320301 
632	 8546.11375200969 
633	 8604.06281434721 
634	 8655.41762424193 
635	 8707.02233462554 
636	 8757.90810201814 
637	 8806.62953587199 
638	 8851.05288518848 
639	 8896.94393108696 
640	 8944.89060177465 
641	 8991.77674343813 
642	 9043.19941384349 
643	 9095.87468680601 
644	 9145.33727017249 
645	 9197.48136686756 
646	 9252.02866061314 
647	 9308.38821622195 
648	 9367.32517468243 
649	 9424.43958489893 
650	 9480.95337700523 
651	 9543.90710531939 
652	 9605.18344917363 
653	 9669.38116112025 
654	 9743.50609104386 
655	 9813.15571939868 
656	 9879.90296643153 
657	 9947.39828693032 
658	 10017.9082588991 
659	 10092.3815180507 
660	 10170.2029070371 
661	 10248.8486755362 
662	 10326.9998350119 
663	 10405.1076165899 
664	 10484.3956166462 
665	 10561.6854168589 
666	 10640.2060349229 
667	 10723.2483163321 
668	 10809.9917091509 
669	 10898.9487437422 
670	 10989.0251361479 
671	 11079.3083736972 
672	 11173.1791664995 
673	 11269.6568520637 
674	 11365.5745719523 
675	 11467.1705866896 
676	 11569.1061944463 
677	 11667.1294228375 
678	 11775.7368547563 
679	 11882.6951087201 
680	 11983.8679790738 
681	 12093.7461534865 
682	 12203.3260880669 
683	 12311.3239283161 
684	 12421.0268811238 
685	 12533.7039633497 
686	 12647.9632257932 
687	 12761.9213132869 
688	 12876.3622653796 
689	 12991.1070859292 
690	 13106.2433366606 
691	 13223.1353379741 
692	 13337.1827971855 
693	 13448.7700536125 
694	 13562.5273975178 
695	 13671.4339190029 
696	 13777.9950161119 
697	 13886.5521671476 
698	 13991.762776316 
699	 14094.5838229532 
700	 14195.2049862895 
701	 14289.5123487623 
702	 14382.8083644565 
703	 14475.1661103513 
704	 14561.3776163594 
705	 14649.3111062559 
706	 14733.6351177654 
707	 14806.5168775456 
708	 14882.2280837486 
709	 14956.7848073436 
710	 15025.8926530836 
711	 15091.3514282899 
712	 15153.9809265877 
713	 15213.911419099 
714	 15270.4088754542 
715	 15325.1997270612 
716	 15378.0880731528 
717	 15428.6536716217 
718	 15482.5528707113 
719	 15534.7215024049 
720	 15581.1950691762 
721	 15626.9318801378 
722	 15667.8508489527 
723	 15705.8195973744 
724	 15750.8232530108 
725	 15793.0687074185 
726	 15834.692849865 
727	 15881.3877256341 
728	 15921.2291541368 
729	 15959.6607733063 
730	 16001.6862691397 
731	 16040.3809465447 
732	 16083.0526494985 
