Wavelength	Reference_GrayPLA00000.asd
350	 20.3613957361676 
351	 21.5549799868757 
352	 23.6033721819715 
353	 23.3326025791753 
354	 25.823156484239 
355	 28.1359856167751 
356	 27.7865556648112 
357	 27.3573092404321 
358	 28.2142458469769 
359	 30.3671532564437 
360	 32.5830277800309 
361	 32.9616103752532 
362	 33.359414275552 
363	 35.5380494199814 
364	 36.7870730441938 
365	 37.2450988848995 
366	 37.2140043208139 
367	 37.0168579392547 
368	 38.8177426219657 
369	 41.1960089356232 
370	 42.0125971889563 
371	 43.712651936654 
372	 44.7086105571526 
373	 44.4941629851234 
374	 45.1488721949287 
375	 46.4454586673946 
376	 48.207768685111 
377	 50.0854629630809 
378	 50.8842076930601 
379	 52.1717531787921 
380	 54.9017694011452 
381	 56.9913847131977 
382	 59.4849657253235 
383	 62.0610695007181 
384	 63.2678882174696 
385	 64.6635488429703 
386	 67.0323413908623 
387	 70.6580863550426 
388	 74.5002849070518 
389	 79.1799480736204 
390	 84.1485708718988 
391	 86.6725129978335 
392	 91.3033485345122 
393	 97.6114780659268 
394	 103.272184790298 
395	 109.020996480594 
396	 115.916278959866 
397	 124.292531585216 
398	 132.532240092082 
399	 141.469955430527 
400	 151.0025501473 
401	 160.420553072187 
402	 172.460200653451 
403	 186.562858028237 
404	 201.535446207061 
405	 217.637227215918 
406	 233.377995623481 
407	 249.805039051933 
408	 272.254433260307 
409	 294.898867631813 
410	 316.945052231999 
411	 339.768394072199 
412	 364.789559511246 
413	 391.045607446671 
414	 417.745872112315 
415	 445.659441201413 
416	 474.089645832501 
417	 503.026333239224 
418	 533.044419181408 
419	 561.364044207024 
420	 589.475094009082 
421	 619.358953240596 
422	 648.62535784528 
423	 676.549380018922 
424	 703.338869699721 
425	 730.915863899663 
426	 756.658096910876 
427	 781.091716134199 
428	 806.300710593636 
429	 830.680073617136 
430	 853.569221441766 
431	 875.126827426979 
432	 898.090529505905 
433	 918.785646060383 
434	 937.122453545035 
435	 957.849937601311 
436	 976.690072752552 
437	 993.782662326883 
438	 1010.88853938011 
439	 1028.85443905969 
440	 1045.85717256348 
441	 1060.97378369224 
442	 1076.49551870714 
443	 1092.39721820083 
444	 1108.4509180745 
445	 1124.17027959805 
446	 1140.78122600705 
447	 1156.26294401444 
448	 1168.80097430744 
449	 1184.23618315286 
450	 1199.12415716767 
451	 1211.54113361967 
452	 1224.04784067945 
453	 1237.9691039599 
454	 1252.72537579085 
455	 1266.330365668 
456	 1280.6862231012 
457	 1295.87607232057 
458	 1311.53219900435 
459	 1327.14171017399 
460	 1343.94669300211 
461	 1361.95484001604 
462	 1378.63144413709 
463	 1396.69194651424 
464	 1415.42947759346 
465	 1432.60631699336 
466	 1452.22164934209 
467	 1474.56013942185 
468	 1498.42172843588 
469	 1519.93734947192 
470	 1542.57180708997 
471	 1567.30681715002 
472	 1590.88851282591 
473	 1616.68774251707 
474	 1645.16160595092 
475	 1675.36697560409 
476	 1706.32164571346 
477	 1736.50649048433 
478	 1765.58619031702 
479	 1797.36626507523 
480	 1830.27816912752 
481	 1864.0993111395 
482	 1900.76366125086 
483	 1936.70661931332 
484	 1972.93020338357 
485	 2012.17476731301 
486	 2052.05712501578 
487	 2092.56208260204 
488	 2134.3671477629 
489	 2179.35644721077 
490	 2225.2828278238 
491	 2271.54170950893 
492	 2319.57424853538 
493	 2370.33410942259 
494	 2421.51807267412 
495	 2470.16081422785 
496	 2524.55310150408 
497	 2578.78820197459 
498	 2629.33548481813 
499	 2687.95864743128 
500	 2749.53139062895 
501	 2809.95890098163 
502	 2865.85507847404 
503	 2924.38086353941 
504	 2985.71371884094 
505	 3047.20232391366 
506	 3109.41603777373 
507	 3172.80846649373 
508	 3237.94342743391 
509	 3305.906419489 
510	 3374.86236314057 
511	 3443.26326179482 
512	 3509.40984192315 
513	 3579.50431828098 
514	 3653.33245869087 
515	 3727.87335325735 
516	 3804.08656415804 
517	 3880.66387342805 
518	 3956.53839680892 
519	 4032.43660885082 
520	 4108.96388683663 
521	 4186.74971733952 
522	 4266.7065378965 
523	 4346.60392642299 
524	 4426.59005660269 
525	 4507.8700757958 
526	 4589.47853551267 
527	 4671.99223065191 
528	 4755.37692187222 
529	 4836.02933742828 
530	 4916.80465663142 
531	 4999.18267179934 
532	 5082.74231179962 
533	 5163.82113839639 
534	 5242.71558918404 
535	 5321.96873013919 
536	 5402.2299433479 
537	 5481.81550826886 
538	 5559.01808497867 
539	 5634.34701930987 
540	 5710.50370941362 
541	 5787.67761687329 
542	 5861.31577925776 
543	 5933.75609096268 
544	 6005.10831638251 
545	 6074.58390311818 
546	 6149.01182680111 
547	 6223.22591484401 
548	 6291.1493141271 
549	 6358.98601860714 
550	 6425.33926129872 
551	 6489.55564689578 
552	 6553.46606366969 
553	 6617.14260454269 
554	 6679.94363920419 
555	 6740.54058462541 
556	 6799.70514648566 
557	 6855.11524315566 
558	 6904.85072358872 
559	 6954.94571041665 
560	 7005.08192312665 
561	 7053.05855465463 
562	 7093.89487250484 
563	 7128.34426288623 
564	 7156.42730981662 
565	 7177.63692240239 
566	 7194.69613304192 
567	 7205.68534567067 
568	 7207.75567011397 
569	 7205.34543675457 
570	 7197.42905295644 
571	 7183.79566183538 
572	 7168.67768123439 
573	 7150.90032379991 
574	 7129.45277371654 
575	 7103.4767359545 
576	 7071.59424403688 
577	 7034.54762076823 
578	 6993.82470182234 
579	 6946.20871583341 
580	 6895.25011842024 
581	 6845.07035940425 
582	 6796.44515694017 
583	 6756.73201164665 
584	 6724.50668120733 
585	 6684.44299086811 
586	 6643.69480796035 
587	 6603.2191672723 
588	 6561.86035827446 
589	 6522.89937663156 
590	 6489.85505986306 
591	 6465.74775229648 
592	 6452.46346817597 
593	 6442.6641345862 
594	 6432.69089133423 
595	 6425.16451032717 
596	 6426.90704303986 
597	 6442.0214545843 
598	 6472.48035016451 
599	 6503.80602694479 
600	 6535.0802701531 
601	 6569.32080896976 
602	 6608.18702061522 
603	 6645.68583627774 
604	 6679.83450753139 
605	 6719.213958457 
606	 6760.94869407011 
607	 6809.13040927327 
608	 6874.39597785084 
609	 6950.30041516551 
610	 7036.14258866209 
611	 7131.26640869569 
612	 7223.9138944665 
613	 7314.35291063172 
614	 7402.24917302336 
615	 7478.99959432749 
616	 7553.12113360946 
617	 7627.62592809605 
618	 7698.72741272288 
619	 7773.75097647758 
620	 7851.78181995241 
621	 7928.51272531541 
622	 8005.93334339789 
623	 8086.39091493811 
624	 8170.58014898082 
625	 8253.23698989923 
626	 8333.47122413039 
627	 8411.09099342123 
628	 8486.74450131866 
629	 8560.26278156141 
630	 8630.04359923173 
631	 8693.75201094195 
632	 8755.62123808252 
633	 8813.0496791793 
634	 8864.25500763422 
635	 8919.36880947406 
636	 8973.29587942789 
637	 9022.74695367861 
638	 9069.42657683848 
639	 9114.83850093655 
640	 9160.86454871979 
641	 9209.73583273586 
642	 9262.270494105 
643	 9315.09460420601 
644	 9365.05335146552 
645	 9419.80769684552 
646	 9476.80278313498 
647	 9533.81782886463 
648	 9592.21756883756 
649	 9649.69437372891 
650	 9707.6785494171 
651	 9771.52659699017 
652	 9835.10714238252 
653	 9901.33496837675 
654	 9974.79925276486 
655	 10044.7121818656 
656	 10113.4098617252 
657	 10184.0464766972 
658	 10255.8787609758 
659	 10331.5782263419 
660	 10410.7263312008 
661	 10488.8173490323 
662	 10568.3443346013 
663	 10649.3103753386 
664	 10730.6907614449 
665	 10810.5743049281 
666	 10891.5579064777 
667	 10976.0903258393 
668	 11062.4477295258 
669	 11152.6668658155 
670	 11246.2641195015 
671	 11338.0254462147 
672	 11433.9359395975 
673	 11532.3512971702 
674	 11627.9818372042 
675	 11729.79181643 
676	 11833.8449801235 
677	 11935.960916657 
678	 12045.7535341891 
679	 12155.9556364876 
680	 12262.9559617642 
681	 12371.4160924815 
682	 12481.4060064754 
683	 12592.5933592252 
684	 12704.1496065026 
685	 12818.7568163435 
686	 12934.943999213 
687	 13050.4618925372 
688	 13165.6336672891 
689	 13281.9378392596 
690	 13400.157431835 
691	 13519.944095261 
692	 13637.0517274758 
693	 13751.3103630632 
694	 13866.0532186663 
695	 13975.3198477369 
696	 14082.3380403701 
697	 14192.0628806806 
698	 14299.4154956703 
699	 14404.7890382778 
700	 14507.9760229909 
701	 14605.1636142858 
702	 14701.7587187931 
703	 14796.3776289527 
704	 14880.4754811068 
705	 14969.2780940698 
706	 15056.4091760082 
707	 15130.4453183019 
708	 15208.8452386369 
709	 15284.0165801679 
710	 15350.3717074016 
711	 15417.6105025413 
712	 15482.0986029916 
713	 15542.4272340477 
714	 15599.4219232182 
715	 15654.756632976 
