Wavelength	reference_blackTPU00000.asd
350	 19.0851811304393 
351	 20.6184809873364 
352	 22.5734395509815 
353	 22.9849333126665 
354	 23.828658560916 
355	 25.3958201841215 
356	 27.4103121484058 
357	 28.9580500860004 
358	 29.457267197003 
359	 29.4781141941089 
360	 30.5726117014803 
361	 32.4563221689568 
362	 33.9073223813073 
363	 34.0610534482305 
364	 34.4088005334335 
365	 35.9393017853821 
366	 38.1240895511125 
367	 38.4902138608369 
368	 40.3935811150614 
369	 41.7105706553144 
370	 39.6252752627002 
371	 39.2538126778453 
372	 40.183675402218 
373	 41.6374018889944 
374	 43.0703924264348 
375	 44.9291503288448 
376	 46.5848083455473 
377	 47.0767334599025 
378	 48.2312573680608 
379	 50.066383504221 
380	 52.2162674783333 
381	 54.1699193267318 
382	 55.8433156202143 
383	 57.5940945501703 
384	 60.1615402166191 
385	 62.2093715064399 
386	 64.0199651083614 
387	 66.4458932064061 
388	 70.9316727557753 
389	 75.7645817348016 
390	 79.8018373838611 
391	 82.7052434382554 
392	 87.2797162286494 
393	 93.3534546502029 
394	 99.3913954850541 
395	 104.209626853851 
396	 110.035406431789 
397	 118.181813688643 
398	 126.54633899136 
399	 136.071873874357 
400	 146.192143510221 
401	 155.295877575818 
402	 166.207567357797 
403	 179.149554578306 
404	 193.543093820976 
405	 208.417031646344 
406	 224.164803294734 
407	 241.546597356358 
408	 261.998399999026 
409	 282.910616199873 
410	 304.106729399527 
411	 326.466142368517 
412	 350.355972801043 
413	 375.088096292893 
414	 400.429674036157 
415	 428.095957461926 
416	 455.294178386959 
417	 482.297239648963 
418	 512.068671438034 
419	 540.528455233218 
420	 568.506719098778 
421	 597.381762086393 
422	 623.435828747044 
423	 649.436234106045 
424	 676.86474249878 
425	 704.541965449877 
426	 729.286604767877 
427	 752.152927690264 
428	 776.491712061043 
429	 799.665239409509 
430	 822.079966027302 
431	 844.317466882776 
432	 865.585065386774 
433	 886.117122038915 
434	 906.041471218258 
435	 925.463453061471 
436	 941.447592687298 
437	 957.063641321122 
438	 976.745187466334 
439	 993.731254854259 
440	 1008.300918765 
441	 1022.31625517057 
442	 1039.79174513085 
443	 1054.98876377818 
444	 1068.06111318024 
445	 1084.44190819478 
446	 1100.28907022089 
447	 1114.88191083648 
448	 1128.51975501635 
449	 1142.23360661307 
450	 1156.44737928922 
451	 1170.70331167055 
452	 1182.36505191904 
453	 1196.06323782208 
454	 1211.61757168775 
455	 1225.6939033096 
456	 1241.03715123935 
457	 1255.43684215371 
458	 1267.27059240655 
459	 1283.22407944777 
460	 1299.99137971873 
461	 1315.66554216404 
462	 1331.35394535608 
463	 1348.6924371059 
464	 1367.36583925987 
465	 1385.93355056027 
466	 1404.91143594148 
467	 1425.12343799608 
468	 1446.89909512925 
469	 1468.18566350661 
470	 1490.72824197195 
471	 1514.82672116158 
472	 1538.2764718816 
473	 1563.77475153368 
474	 1590.80738563588 
475	 1617.60513560926 
476	 1647.06942623414 
477	 1677.40320690078 
478	 1706.99151879635 
479	 1737.74866097272 
480	 1769.97284625822 
481	 1803.4444667362 
482	 1837.30455379841 
483	 1870.87605140985 
484	 1906.43911396215 
485	 1946.91929278305 
486	 1984.68953343776 
487	 2023.45553501988 
488	 2066.42064672273 
489	 2108.53947166463 
490	 2152.79997030279 
491	 2199.79445304285 
492	 2247.12542981168 
493	 2292.90664557483 
494	 2340.03200254281 
495	 2392.78163812997 
496	 2443.46793822468 
497	 2495.39742981532 
498	 2551.02982655332 
499	 2603.90648728171 
500	 2659.3801934771 
501	 2718.04319060047 
502	 2774.2432556453 
503	 2831.31767275362 
504	 2890.48161267642 
505	 2951.95961453302 
506	 3012.63575805534 
507	 3073.73521653144 
508	 3136.78322489541 
509	 3201.9251865392 
510	 3268.0887667985 
511	 3334.23611810256 
512	 3398.90059922679 
513	 3468.05686705933 
514	 3540.58955766498 
515	 3612.44427465781 
516	 3686.64933446448 
517	 3760.22818748041 
518	 3831.60754071554 
519	 3907.81818607969 
520	 3983.07528134609 
521	 4056.71943141478 
522	 4136.01038784412 
523	 4214.22919888723 
524	 4291.57387582498 
525	 4371.10352119738 
526	 4450.56109837464 
527	 4530.48434804488 
528	 4611.11072691461 
529	 4689.39785608919 
530	 4768.07399663105 
531	 4848.414316094 
532	 4929.63356313072 
533	 5008.72422423888 
534	 5085.75110544133 
535	 5162.62451549058 
536	 5241.28048232791 
537	 5319.17717116688 
538	 5393.82161301935 
539	 5467.32299687442 
540	 5541.94404366929 
541	 5617.48407192001 
542	 5689.05248426043 
543	 5760.66195584924 
544	 5831.75198847776 
545	 5899.3078397537 
546	 5968.25195573335 
547	 6037.391530779 
548	 6104.64282207946 
549	 6171.84230189743 
550	 6237.6975033352 
551	 6301.59016136627 
552	 6364.58307000521 
553	 6427.01628137229 
554	 6487.81550079158 
555	 6544.72856619641 
556	 6600.96335370636 
557	 6656.40037286546 
558	 6709.78030091315 
559	 6759.10602428178 
560	 6806.65826154901 
561	 6852.70542961769 
562	 6891.74381015916 
563	 6924.89262985717 
564	 6952.41412171471 
565	 6973.96628079153 
566	 6991.3033952459 
567	 7002.63880892695 
568	 7005.63067596834 
569	 7005.02369275481 
570	 6997.61624810111 
571	 6982.73896999206 
572	 6970.41805187632 
573	 6954.19655325053 
574	 6932.21742329854 
575	 6908.07693996846 
576	 6877.05014168431 
577	 6840.18795123877 
578	 6800.62513133953 
579	 6754.60942112535 
580	 6706.39608110066 
581	 6659.76991240114 
582	 6610.53386468929 
583	 6570.44971033293 
584	 6540.11527557512 
585	 6502.82928148271 
586	 6463.43043054976 
587	 6422.54448276558 
588	 6380.12238084237 
589	 6344.84538632267 
590	 6316.03999665821 
591	 6292.05472886769 
592	 6278.26102698244 
593	 6268.87926326998 
594	 6260.36627633168 
595	 6252.85272662623 
596	 6254.96556509955 
597	 6270.69797842506 
598	 6300.71127779809 
599	 6330.54553958423 
600	 6360.35438738071 
601	 6394.26032821044 
602	 6433.13649999287 
603	 6470.13363187882 
604	 6503.06832300637 
605	 6541.96013639633 
606	 6582.24287426451 
607	 6628.7796119624 
608	 6695.38189523626 
609	 6768.80310510041 
610	 6850.75859314257 
611	 6945.41549392891 
612	 7036.90734646334 
613	 7124.78833328497 
614	 7209.15189503553 
615	 7283.70776652034 
616	 7357.18163674804 
617	 7431.55935423435 
618	 7500.35902699802 
619	 7571.66623626239 
620	 7646.99344017635 
621	 7724.78114633236 
622	 7800.64727654334 
623	 7878.78736393704 
624	 7962.22665632543 
625	 8044.20859262305 
626	 8122.70061056403 
627	 8197.92288714823 
628	 8273.92199476159 
629	 8345.36048443675 
630	 8411.19762150207 
631	 8472.75282189574 
632	 8533.69136321016 
633	 8591.11216522031 
634	 8642.41165828139 
635	 8694.45703680682 
636	 8746.09209477698 
637	 8795.20400200402 
638	 8837.59731322869 
639	 8882.94273648314 
640	 8931.14574659266 
641	 8975.0791840121 
642	 9027.684927959 
643	 9082.73825649687 
644	 9131.09099884116 
645	 9183.98826809237 
646	 9238.50198137656 
647	 9292.83450431693 
648	 9352.05033662883 
649	 9409.70598751002 
650	 9466.22524470463 
651	 9528.81468016896 
652	 9591.51492507227 
653	 9656.66495959054 
654	 9728.12143245658 
655	 9796.52936473111 
656	 9863.59872315718 
657	 9932.1423655443 
658	 10003.0090558497 
659	 10076.9300050862 
660	 10153.8803653149 
661	 10233.1009874394 
662	 10311.7509543354 
663	 10389.4176633975 
664	 10467.1173170592 
665	 10547.9394790029 
666	 10627.9846126169 
667	 10705.4857835097 
668	 10791.9077182637 
669	 10881.7750366544 
670	 10971.9770354946 
671	 11063.4405794917 
